cluster_id,industry_final,count
33,human resources,120
33,information technology and services,62
33,insurance,25
33,international trade and development,21
33,internet,63
33,legal services,18
33,"leisure, travel & tourism",271
33,logistics and supply chain,17
33,management consulting,112
33,mechanical or industrial engineering,18
33,mental health care,23
33,non-profit organization management,25
33,oil & energy,43
33,outsourcing/offshoring,16
33,photography,17
33,primary/secondary education,31
33,real estate,49
33,renewables & environment,27
33,restaurants,27
33,retail,44
33,semiconductors,55
33,staffing and recruiting,463
33,telecommunications,16
33,textiles,31
34,Healthcare & Social Assistance,88
34,Medical Value Travel,1
34,Unknown,75
34,hospital & health care,15
34,human resources,10
34,restaurants,13
34,staffing and recruiting,989
35,Accounting & Finance Services,47
35,Cybersecurity,571
35,Healthcare & Social Assistance,27
35,Information Technology Enabled Services (ITeS),22
35,Legal Services,38
35,Transport & Logistics Services,16
35,Unknown,460
35,building materials,33
35,civil engineering,57
35,computer & network security,10
35,computer software,36
